start,dest,longitude0,latitude0,longitude1,latitude1,the_geom,cartodb_id,created_at,updated_at
"56.35639346,25.45194245","8.5618685,47.4524688",56.35639346,25.45194245,8.5618685,47.4524688,0102000020E610000002000000A99A074D9E2D4C40936C1A80B27339401E4E603AAD1F2140ED3A657FEAB94740,56,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-46.4694,-23.4319","8.5618685,47.4524688",-46.4694,-23.4319,8.5618685,47.4524688,0102000020E610000002000000075F984C153C47C0742497FF906E37C01E4E603AAD1F2140ED3A657FEAB94740,57,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-67.6856885,-53.7978042",6.1089,46.2369,-67.6856885,-53.7978042,0102000020E6100000020000003A234A7B836F184011363CBD521E474092AF0452E2EB50C044CEB1721EE64AC0,58,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","17.9206074,59.6518539",6.1089,46.2369,17.9206074,59.6518539,0102000020E6100000020000003A234A7B836F184011363CBD521E4740A27433EDACEB31409122D7F26FD34D40,59,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-82.0610404,39.355589",6.1089,46.2369,-82.0610404,39.355589,0102000020E6100000020000003A234A7B836F184011363CBD521E4740066FFE15E88354C09FE8BAF083AD4340,60,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","2.163063772,41.40646725",6.1089,46.2369,2.163063772,41.40646725,0102000020E6100000020000003A234A7B836F184011363CBD521E47401E38FF60F44D014091D26C1E07B44440,61,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","20.29887344,44.8182206",6.1089,46.2369,20.29887344,44.8182206,0102000020E6100000020000003A234A7B836F184011363CBD521E47406A7142F8824C3440EDF4DE73BB684640,62,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","6.6837962,48.3486145",6.1089,46.2369,6.6837962,48.3486145,0102000020E6100000020000003A234A7B836F184011363CBD521E47402C84301235BC1A40A83462669F2C4840,63,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","0.117204807,52.20596075",6.1089,46.2369,0.117204807,52.20596075,0102000020E6100000020000003A234A7B836F184011363CBD521E4740EEBDFF5C2201BE3F3CC1FEEB5C1A4A40,64,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","2.571189985,49.00665965",6.1089,46.2369,2.571189985,49.00665965,0102000020E6100000020000003A234A7B836F184011363CBD521E474098050B0ECC910440F6793139DA804840,65,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","12.65070733,55.6089508",6.1089,46.2369,12.65070733,55.6089508,0102000020E6100000020000003A234A7B836F184011363CBD521E4740263CDB82294D2940C06F8D19F2CD4B40,66,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-45.8716233,-23.2084514",6.1089,46.2369,-45.8716233,-23.2084514,0102000020E6100000020000003A234A7B836F184011363CBD521E47403FF72F5A91EF46C030CE29125D3537C0,67,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","37.90601822,55.4083053",6.1089,46.2369,37.90601822,55.4083053,0102000020E6100000020000003A234A7B836F184011363CBD521E4740753DB067F8F3424049241B5943B44B40,68,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-74.17725475,40.68906405",6.1089,46.2369,-74.17725475,40.68906405,0102000020E6100000020000003A234A7B836F184011363CBD521E4740E2934E24588B52C0B6CC334033584440,69,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","12.22693696,41.81435465",6.1089,46.2369,12.22693696,41.81435465,0102000020E6100000020000003A234A7B836F184011363CBD521E474046E8CA14317428403A8CEEC53CE84440,70,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","8.5570492,50.042758",6.1089,46.2369,8.5570492,50.042758,0102000020E6100000020000003A234A7B836F184011363CBD521E4740A386808D351D214039D2191879054940,71,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","62.2905676,34.1577182",6.1089,46.2369,62.2905676,34.1577182,0102000020E6100000020000003A234A7B836F184011363CBD521E47407CA3B15131254F40F37D271C30144140,72,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-77.45342419,38.9522097",6.1089,46.2369,-77.45342419,38.9522097,0102000020E6100000020000003A234A7B836F184011363CBD521E4740FBD0E4E6045D53C08C37E801E2794340,73,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-73.77937327,40.6429479",6.1089,46.2369,-73.77937327,40.6429479,0102000020E6100000020000003A234A7B836F184011363CBD521E4740B3816C40E17152C015C4E51D4C524440,74,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","0.0474769239,51.5042655",6.1089,46.2369,0.0474769239,51.5042655,0102000020E6100000020000003A234A7B836F184011363CBD521E47402D2CEE36E54EA83F24809BC58BC04940,75,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","30.26761691,59.80168105",6.1089,46.2369,30.26761691,59.80168105,0102000020E6100000020000003A234A7B836F184011363CBD521E47407C4EB48A82443E4056C9117C9DE64D40,76,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-0.4591320574,51.467772",6.1089,46.2369,-0.4591320574,51.467772,0102000020E6100000020000003A234A7B836F184011363CBD521E47402501C56C6B62DDBF04FEF0F3DFBB4940,77,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","0.7118311,42.8126916",6.1089,46.2369,0.7118311,42.8126916,0102000020E6100000020000003A234A7B836F184011363CBD521E474095D2D80352C7E63FF1DD414706684540,78,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.1089,46.2369","-3.574080521,40.4948384",6.1089,46.2369,-3.574080521,40.4948384,0102000020E6100000020000003A234A7B836F184011363CBD521E4740A2B93787B7970CC009675CDD563F4440,79,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
